,min_dr,max_dr,mean_dr,median_dr,std_dr,min_xr,max_xr,mean_xr,median_xr,std_xr,min_yr,max_yr,mean_yr,median_yr,std_yr,E,A,C,N,O
0,0.533963039,-0.102060329,-0.317058315,-0.536793355,-0.149726222,-0.235949334,1.681141511,0.578944121,0.539765555,1.112374632,1.02198775,0.532366044,0.894495639,0.853093735,-0.588117248,0.570093458,0.703296703,0.640776699,0.666666667,0.544444444
1,-1.308284701,-0.021932911,-0.318267994,-0.629606059,0.041786697,1.331452153,1.734847292,1.312261924,0.533714899,1.753318919,-1.816725871,-1.255602435,-0.893094395,-0.588188821,0.308742563,0.523364486,0.516483516,0.436893204,0.333333333,0.411111111
2,-0.263960673,-0.000757495,-0.008213785,-0.179714791,0.096834665,0.012144832,0.542240736,0.121600612,0.287210211,0.362560246,-0.287970866,-0.912827226,-0.792730543,-1.126993672,0.130005829,0.401869159,0.538461538,0.427184466,0.510416667,0.388888889
3,-0.458185709,0.123567809,2.045278292,3.523769529,0.024375842,0.106454367,-0.951031532,-0.496646464,-0.580663189,-0.747665245,0.693107973,-0.65083375,0.3951151,0.468039831,-1.243887828,0.485981308,0.637362637,0.359223301,0.458333333,0.566666667
4,1.903461824,-0.012962924,0.819107052,1.468000661,-0.074007827,-0.83210973,-2.060112478,-1.686296145,-1.669760182,-1.24460684,1.088039219,-0.318376354,0.547336792,0.600425983,-1.314003608,0.53271028,0.527472527,0.650485437,0.458333333,0.477777778
5,-0.263960673,0.033106808,0.345821797,0.619928465,0.171668844,-1.894588002,-0.202725367,-0.552112407,-0.473222034,-0.093002682,0.101615133,0.691494045,0.374500222,0.120847692,1.484173486,0.542056075,0.527472527,0.660194175,0.635416667,0.566666667
6,-0.890524398,-0.15827274,-1.169671679,-1.891360969,-0.092237987,-0.071284737,-1.619392874,-1.002657944,-0.993039176,-1.504003182,-0.83589815,-1.250353021,-1.526579814,-1.575410568,-0.410813858,0.560747664,0.703296703,0.533980583,0.552083333,0.566666667
7,1.533886927,0.002574639,0.626111427,1.026030014,-0.017451868,0.62273973,0.025831127,0.465574444,0.458725987,-0.880054335,0.53259989,-0.969270767,-0.071927368,-0.073316767,-1.167116362,0.102803738,0.285714286,0.174757282,0.322916667,0.188888889
8,0.087097115,-0.012962924,0.312584349,0.319397478,-0.017869186,-0.977796203,-0.98769999,-1.852274565,-1.931902733,-0.465790927,0.429181916,1.28332021,1.100157181,1.106549767,-0.172560393,0.420560748,0.450549451,0.339805825,0.416666667,0.466666667
9,-0.636297791,0.01247931,-0.690099856,-1.472388411,0.053207814,0.929641356,0.550305029,1.040548212,1.074450222,-0.366362619,0.087136329,0.420976443,-0.005484776,0.033803828,0.014738157,0.700934579,0.758241758,0.825242718,0.729166667,0.722222222
10,-1.359692697,0.002574639,0.263022737,0.509662107,0.072510021,0.59756126,0.34852319,0.1723785,0.00631693,-0.324475535,-2.346945678,-2.35265589,-1.922290046,-1.75583297,0.161138347,0.439252336,0.549450549,0.417475728,0.322916667,0.433333333
11,-1.08306141,0.05514005,0.436442076,0.72258537,0.077517475,1.383533815,1.594540638,1.481130226,1.561489478,0.602989185,0.425723649,0.42862841,0.070664541,0.045233871,-0.163429541,0.598130841,0.615384615,0.436893204,0.572916667,0.555555556
12,0.439280252,-0.012962924,-0.041640886,-0.138414411,-0.030517637,-1.042074556,-1.80934909,-1.528054469,-1.358203943,-0.460477888,0.731156087,-0.319306109,0.069751768,0.106110128,-1.110265003,0.214953271,0.417582418,0.436893204,0.385416667,0.333333333
13,-0.914259035,-0.06950012,-1.001557155,-1.738973881,-0.01965481,0.65866835,0.843845276,0.679728564,0.934998018,0.812978539,0.830118493,1.1447291,0.991673414,0.977999364,-0.065762815,0.672897196,0.626373626,0.718446602,0.677083333,0.9
14,-0.591232672,0.016976699,0.578679737,1.019438926,-0.036858952,0.363029962,-0.436306998,-0.200444911,-0.223114265,-0.821504584,1.285612465,1.199362499,0.906798248,0.739857884,-0.341826051,0.719626168,0.714285714,0.737864078,0.677083333,0.733333333
15,1.180834201,-0.026675748,0.067246902,0.106276199,-0.071977018,0.801826466,0.314562889,0.435221741,0.390316463,-0.668420192,-0.832425533,-1.827072722,-1.453109721,-1.365598367,-0.701333566,0.53271028,0.549450549,0.504854369,0.53125,0.522222222
16,0.401069533,-0.0599004,-0.300590288,-0.636791194,-0.081012434,-0.021657249,0.554788535,0.300525669,0.140121155,1.650457619,-0.613492824,0.00395247,-0.716477011,-0.974872106,1.471425702,0.495327103,0.340659341,0.436893204,0.447916667,0.377777778
17,0.533963039,-0.056278191,0.080930619,0.126417207,-0.051480004,-0.500079089,-0.995878627,-0.773695489,-0.696949226,-0.611183548,0.701653194,1.577632961,0.842424148,0.738602326,0.779343399,0.607476636,0.747252747,0.660194175,0.708333333,0.7
18,0.846605499,0.016976699,0.534976522,1.013526748,-0.031395772,0.557293017,0.636713321,0.81053338,0.853499749,-0.358675427,-0.758438704,0.205544774,-0.176448406,-0.092885587,-0.208158632,0.859813084,0.791208791,0.708737864,0.9375,0.766666667
19,1.249327044,-0.035819283,0.199120628,0.359226885,-0.117892991,-0.160704469,1.597856627,0.226129882,0.260192353,1.41080278,-0.529956299,0.434799351,0.213386761,0.579248099,2.21639607,0.392523364,0.571428571,0.582524272,0.395833333,0.511111111
20,0.846605499,-0.051332054,0.038263831,0.279850949,-0.112388934,-0.483035867,0.511295518,0.781370712,1.178648953,1.068919746,-0.081299939,-0.394558679,-0.30340347,-0.277688219,-0.578331508,0.626168224,0.769230769,0.737864078,0.75,0.811111111
21,-0.263960673,-0.097238155,-0.711434959,-1.241643751,-0.03651206,0.276577494,0.675849213,0.166130661,0.185830216,0.872146516,-0.857408285,-0.643626091,-0.787731801,-0.611483681,0.102478924,0.476635514,0.593406593,0.611650485,0.552083333,0.588888889
22,1.824533925,7.55387E-05,0.875079276,1.419628297,-0.072171452,-0.442532716,-1.07765296,-0.717969511,-0.659486284,-0.805715455,0.336963849,-0.445645844,-0.170768809,-0.145180168,-0.866374976,0.542056075,0.604395604,0.466019417,0.458333333,0.577777778
23,0.226282346,-0.051332054,-0.317564056,-0.402651982,-0.048006761,0.90396216,0.366601649,0.855306557,1.250945183,0.330289527,1.409392602,1.689590289,1.70116723,0.909195623,1.849172936,0.448598131,0.483516484,0.650485437,0.5,0.588888889
24,-0.179559486,-0.032323517,-0.375998009,-0.572407861,-0.007504777,0.895876366,-0.657798208,0.092154636,0.120600088,-1.405252312,0.882437341,-0.810628213,0.205014892,0.224701399,-1.668959311,0.635514019,0.582417582,0.572815534,0.614583333,0.633333333
25,0.087097115,-0.069961264,-0.219725005,-0.138414411,-0.090165184,1.212075419,0.000681367,0.509256196,0.475508853,-1.072964284,0.88728035,-0.032036459,0.267819861,0.274180119,-1.26763941,0.710280374,0.692307692,0.912621359,0.791666667,0.833333333
26,-0.263960673,-0.088176436,-0.731411736,-1.158477232,-0.13280486,0.098603482,-1.249368228,-0.917431167,-1.009461384,-1.140111455,-1.39483162,-1.917892519,-2.221267062,-2.15711973,-0.654076462,0.411214953,0.527472527,0.689320388,0.5625,0.444444444
27,0.701179695,-0.032323517,0.12623307,0.146558214,-0.072006134,-0.891999006,-0.136513915,-0.645408752,-0.496542269,0.481356558,0.35402559,0.964924332,0.284060955,0.39242601,0.009052562,0.429906542,0.516483516,0.631067961,0.510416667,0.588888889
28,1.966072159,0.041047899,1.074509432,1.907425393,0.030318992,1.963572077,0.787660026,1.475986969,1.471237367,-1.202863479,-0.097931191,-0.830934723,-0.451879619,-0.454282999,-0.784546948,0.168224299,0.340659341,0.194174757,0.145833333,0.266666667
29,-0.704534872,0.002574639,0.098024329,-0.179714791,0.057668943,-1.291633809,-1.883630853,-1.784485333,-1.549373845,-0.08522011,0.771794315,0.477025044,0.386511229,0.324853447,-0.760673647,0.579439252,0.67032967,0.708737864,0.75,0.544444444
30,1.249327044,-0.034944102,0.487372607,0.818198579,-0.122371278,1.616037482,0.960952044,1.451999602,1.374220287,-0.779473778,0.360547509,0.649827851,0.243450433,0.202040414,0.082349756,0.308411215,0.472527473,0.718446602,0.510416667,0.555555556
31,0.127149315,0.01247931,-0.031449859,-0.256035631,0.117117708,0.445742442,0.168334397,0.312195759,0.26091367,-0.401689604,-1.140082168,-0.179949803,-0.657403358,-0.753028495,0.310861926,0.542056075,0.681318681,0.640776699,0.572916667,0.644444444
32,1.180834201,-0.051332054,-0.210821909,-0.515549118,-0.164741224,-1.309598118,-2.273473197,-2.260913321,-2.345878922,-0.766171886,1.28058291,0.958300855,0.763710431,0.582445911,-0.318712944,0.542056075,0.43956044,0.660194175,0.458333333,0.577777778
33,-0.914259035,-0.088176436,-0.298954147,-0.179714791,-0.048209197,1.120522966,0.171343462,0.550390087,0.489381942,-1.204185319,-0.176172693,-0.705524744,-0.500619654,-0.486208292,-0.397223541,0.336448598,0.56043956,0.825242718,0.53125,0.566666667
34,-0.179559486,-0.035819283,-0.100398445,-0.152218922,-0.081856389,-0.766310655,-0.499756129,-0.926875823,-1.030432088,0.103278745,-0.281370024,0.295747478,-0.201075595,-0.481815872,1.124887455,0.373831776,0.538461538,0.310679612,0.333333333,0.422222222
35,-0.436292552,-0.070881072,-0.119711266,0.106276199,-0.058724421,-1.171966531,0.171614277,0.323135544,0.412050502,0.574298764,0.599555388,1.892202856,0.426373215,0.219772625,0.68693479,0.457943925,0.736263736,0.40776699,0.59375,0.766666667
36,-0.591232672,-0.08251627,-0.567581318,-0.803067657,-0.064608708,-0.036135024,0.454965833,0.601911296,0.789159011,0.142803637,-0.865444093,-0.562235491,-0.686778852,-0.704845965,-0.319335273,0.411214953,0.516483516,0.495145631,0.520833333,0.522222222
37,1.566726661,-0.034944102,0.442831159,0.72258537,-0.108655336,-0.190692379,-1.302526359,-0.741999391,-0.684893435,-1.130973058,1.598097759,0.44952733,1.14990486,1.154086232,-1.425189782,0.841121495,0.494505495,0.660194175,0.739583333,0.811111111
38,-1.707527894,-0.060354106,-0.37156799,-0.572521012,-0.036919842,-0.88703502,-0.333198398,-0.514788493,-0.626162158,0.608576592,0.850997244,0.94038867,1.58513623,1.622620492,-0.679661936,0.205607477,0.351648352,0.436893204,0.46875,0.466666667
39,-0.014133158,-0.08251627,-0.467426108,-0.92023627,-0.122102806,-0.101186102,-0.883417855,-0.366144409,-0.213271445,-0.514334867,0.511175853,0.039217341,0.398504726,0.444074529,-0.434881059,0.205607477,0.318681319,0.203883495,0.322916667,0.455555556
40,-0.591232672,-0.086284755,-0.875011823,-1.588736675,-0.116723715,0.788986868,0.099053699,0.766737244,0.809068749,-0.976034913,1.006999534,0.708056851,1.083730048,1.052162589,-0.243350038,0.61682243,0.648351648,0.640776699,0.614583333,0.555555556
41,1.367744468,0.002574639,0.627390474,1.113156844,-0.036024536,0.621497188,0.252612272,0.565489935,0.418559859,0.043805476,-0.112926582,-0.016913539,0.330245428,0.390479693,0.287089164,0.158878505,0.32967033,0.233009709,0.145833333,0.333333333
42,-0.263960673,-0.07690569,-0.281078588,-0.593878401,-0.066585267,1.499900012,0.120207422,1.038632825,1.047295804,-1.448174645,-0.97854091,-2.27182479,-1.802083759,-1.589242018,-1.024133368,0.308411215,0.461538462,0.330097087,0.270833333,0.333333333
43,-1.59780635,-0.053127043,-0.652122793,-0.979301472,0.06866137,0.02237571,0.885599054,0.493415504,0.466471387,0.700083495,0.96771735,1.226407677,0.777722416,0.593794688,-0.017962234,0.476635514,0.43956044,0.650485437,0.666666667,0.6
44,0.701179695,-0.035382932,0.042844206,-0.124723052,-0.028143103,-0.605645682,-0.179417154,-0.006113355,0.295760964,0.378887884,0.016406872,0.88187992,0.922385931,0.995569043,0.227887902,0.411214953,0.450549451,0.398058252,0.447916667,0.455555556
45,-0.263960673,-0.06720184,-0.162501414,-0.256035631,-0.014480164,0.370120487,-0.616959187,0.016261739,0.020470142,-1.295851038,-0.222672755,-0.573976735,-0.799175513,-0.796022198,-0.668152822,0.542056075,0.582417582,0.611650485,0.604166667,0.622222222
46,-0.263960673,-0.032323517,-0.049678412,-0.009223426,-0.040016757,1.143358534,0.396914963,0.943184684,1.018884334,-0.320211961,0.501382213,0.183469261,0.182119555,0.192796422,-0.482703237,0.700934579,0.758241758,0.640776699,0.739583333,0.888888889
47,-0.096334799,-0.078303996,-0.213564189,-0.515435966,-0.062694409,1.437711107,0.742289354,1.220292776,1.257661131,-0.750290295,1.82364566,0.70730811,1.709611832,1.703134644,-1.490371077,0.38317757,0.494505495,0.650485437,0.489583333,0.533333333
48,0.127149315,0.037485193,0.058560455,0.159853542,0.014358611,0.218289305,-0.550428773,-0.161027207,0.008676966,-0.336872991,-0.627533963,-0.284000098,-0.926187652,-1.159565029,0.642370077,0.205607477,0.307692308,0.339805825,0.197916667,0.377777778
49,1.903461824,0.019825377,0.458018431,0.652120131,-0.060728892,0.6176892,0.156899953,0.216483056,0.037246004,0.020747934,-0.321656685,0.64614997,-0.60447137,-0.59841613,0.359208814,0.61682243,0.769230769,0.54368932,0.645833333,0.722222222
50,0.127149315,0.006717494,0.109674488,-0.015418483,-0.012935692,0.868113904,0.623028096,1.103684335,1.582607246,0.767668834,-1.047031821,-0.405230293,-1.439335125,-1.972528389,1.395956567,0.504672897,0.395604396,0.427184466,0.4375,0.5
51,-0.263960673,0.002574639,0.32804021,0.798566754,0.072766758,0.208101699,-0.187830498,-0.221656073,-0.568785976,0.446528069,-0.38911442,0.002899296,-0.797378336,-0.800308973,-0.136660388,0.327102804,0.395604396,0.524271845,0.3125,0.544444444
52,0.458308884,0.01247931,0.051157156,0.240078117,-0.077242638,-0.319551993,-0.241325645,-0.107737394,-0.260111503,0.055360958,-0.060521636,0.419108704,0.12023443,0.045623947,0.516965269,0.495327103,0.604395604,0.844660194,0.666666667,0.633333333
53,-0.263960673,0.021853417,-0.102332905,-0.332356471,0.032539847,0.516418957,-0.736557459,-0.091170924,-0.031587206,-1.187086311,-0.776103131,0.612333213,-0.560225414,-1.052923903,2.630592029,0.579439252,0.692307692,0.689320388,0.6875,0.788888889
54,-3.529877414,-0.082047688,-0.183363238,-0.179714791,-0.078416498,0.313563201,0.183205193,0.261163707,0.493527761,0.053239696,0.404988395,1.426913896,0.93832591,0.315946708,2.50890657,0.635514019,0.747252747,0.776699029,0.71875,0.777777778
55,0.127149315,-0.032323517,0.219502681,0.392069174,0.012757783,-0.357953333,-0.086328739,0.356586948,0.572459404,0.452457364,0.990755723,0.945514665,0.965744284,0.949304388,-0.396499511,0.429906542,0.626373626,0.553398058,0.53125,0.533333333
56,0.458308884,-0.034944102,0.395308231,0.671412501,-0.059353301,0.132801197,0.47079953,0.268360363,0.088021789,0.547123127,0.51488524,-0.586886344,-0.269688959,-0.276375775,-1.176049621,0.691588785,0.67032967,0.689320388,0.59375,0.711111111
57,-1.59780635,-0.111322869,-0.81873923,-1.402149477,-0.062481156,0.412490542,-0.633635422,0.109169234,0.1691594,-1.043493878,-0.459241192,-0.22532679,-0.17328489,-0.11505085,-0.808217056,0.551401869,0.659340659,0.689320388,0.572916667,0.588888889
58,-2.42841634,-0.06950012,-0.591159792,-0.586664978,0.022614234,-0.066982204,1.175781186,0.452286281,0.165006577,2.302342557,-0.081185142,-0.235850302,-0.222386228,-0.134700936,-0.261652345,0.495327103,0.626373626,0.514563107,0.583333333,0.622222222
59,1.024359515,-0.075512342,-0.083540519,-0.402651982,-0.080974543,2.578982598,1.375914057,2.383699521,2.368254058,-1.096594984,-0.731432651,-1.637377992,-0.916155821,-0.865065674,-0.853891185,0.588785047,0.604395604,0.844660194,0.8125,0.655555556
60,-2.299461556,0.006717494,-0.871152471,-1.12184436,0.165399631,1.262432359,1.012852386,1.085913471,0.933128197,-0.106030158,-1.851875354,-1.327950549,-1.664727731,-1.825953218,1.149006221,0.523364486,0.505494505,0.621359223,0.604166667,0.611111111
61,1.249327044,0.006717494,0.766833915,1.516118433,-0.052952314,0.003496494,0.702136399,0.428699366,0.590002103,0.289212425,-0.2249687,0.418540978,-0.402822223,-0.590183898,0.78708273,0.626168224,0.604395604,0.553398058,0.46875,0.722222222
62,0.810492021,-0.07690569,-0.357018362,-0.536793355,-0.056719289,0.25416847,-0.242926467,0.494050099,0.588436916,-0.654036559,0.075068268,-0.272777213,-0.409986687,-0.460796457,-0.504896807,0.570093458,0.692307692,0.59223301,0.666666667,0.444444444
63,-2.299461556,0.08857544,-0.130715921,-0.124723052,0.158953137,1.102564838,1.819666798,1.646901382,1.657021906,0.276376493,0.470480228,0.589476047,0.389766839,0.297523738,0.089271013,0.514018692,0.43956044,0.40776699,0.479166667,0.566666667
64,-0.985974469,0.037485193,-0.168647536,-0.472947492,0.10512894,-0.41073972,-0.350699117,-0.844385779,-0.951090766,-0.31369299,-0.548840447,-0.591444613,-0.976413478,-1.06831972,-0.159996081,0.626168224,0.483516484,0.563106796,0.510416667,0.633333333
65,-0.458185709,-0.012962924,-0.008831268,0.213430885,-0.002162813,-0.064546575,0.313136593,0.699317196,0.865184377,0.407895605,-0.430929319,1.071294901,1.01724688,1.104262133,0.523420233,0.271028037,0.516483516,0.233009709,0.322916667,0.277777778
66,0.226282346,0.039466127,-0.162417009,-0.444716137,0.028941012,0.060838868,0.822950333,-0.018265386,-0.161973931,0.458717107,0.829472759,-0.14322859,0.581607823,0.64607708,-0.783984912,0.392523364,0.472527473,0.398058252,0.489583333,0.566666667
67,1.566726661,0.021853417,0.706077312,1.03853328,-0.065051404,-0.418510242,1.849613007,-0.139692536,-0.39943415,2.305459055,-1.867731725,-3.388526522,-2.955867393,-2.866936395,-1.171427089,0.476635514,0.428571429,0.339805825,0.427083333,0.644444444
68,-0.242783648,-0.016366957,0.288212749,0.535517277,0.056030159,-0.519768121,1.607178709,0.690034391,0.496434037,2.437485279,-2.553178941,-0.753016307,-1.493185526,-1.17664305,2.779227642,0.61682243,0.604395604,0.533980583,0.604166667,0.6
69,-2.205392596,-0.053127043,-0.880670315,-1.495443076,0.117959203,-1.082923888,1.140966311,0.230498058,0.50172836,2.048434493,-1.695012084,-0.74853209,-0.853715944,-0.681644562,0.758268866,0.177570093,0.21978022,0.27184466,0.291666667,0.588888889
70,-0.890524398,-0.001176491,0.050595715,0.206754933,0.052262795,-1.236597246,-0.603881793,-1.040013549,-1.029189042,-0.020899454,0.048155487,-0.14781977,-0.394978084,-0.456050531,-0.330090628,0.551401869,0.604395604,0.737864078,0.677083333,0.688888889
71,-0.636297791,0.033106808,-0.575134631,-1.356040148,0.045042842,1.518389774,1.198102425,1.639303781,1.607377117,-0.595224804,0.173062072,-0.192497383,0.042787886,0.029996522,-0.217086678,0.457943925,0.626373626,0.504854369,0.416666667,0.422222222
